order_id,first_name,last_name,email,Shipping Address,Shipping Country,Shipping Type,item,Colour,size
1674,Baryram,Dixcee,bdixcee0@infoseek.co.jp,71 Macpherson Plaza,China,5 Day,TShirt,Black,Small
1324,Shari,Farlambe,sfarlambe1@sun.com,9265 Canary Pass,Peru,1 Day,Hat,Yellow,Small
9775,Natalina,Ottiwill,nottiwill2@privacy.gov.au,196 Hagan Junction,Bangladesh,5 Day,TShirt,Grey,X Large
6429,Naoma,Nolli,nnolli3@china.com.cn,4 Bonner Pass,Kosovo,2 Day,Hat,Yellow,X Large
6868,Arline,Kirkam,akirkam4@ft.com,23661 Boyd Parkway,Thailand,2 Day,Sweatshirt,Grey,Large
2020,Aldric,Ravillas,aravillas5@devhub.com,83568 Sullivan Hill,China,1 Day,Hat,Black,Large
2328,Lexie,Hayles,lhayles6@weather.com,5001 David Trail,Indonesia,5 Day,Hat,Black,Medium
4194,Marlo,Foulis,mfoulis7@slashdot.org,3 Mendota Junction,Russia,5 Day,TShirt,Grey,Small
6715,Alberta,Mahedy,amahedy8@studiopress.com,556 Carioca Point,Greece,2 Day,TShirt,Yellow,Small
1206,Fonzie,Dunn,fdunn9@wisc.edu,31416 Washington Circle,China,5 Day,Hat,Red,X Large
3852,Bev,Newport,bnewporta@nature.com,0155 South Point,China,5 Day,Sweatshirt,Black,X Large
9060,Kit,Josham,kjoshamb@usda.gov,80070 Claremont Trail,Iraq,1 Day,Sweatshirt,White,Medium
8349,Hilary,Biasio,hbiasioc@ebay.co.uk,96 Schmedeman Avenue,China,2 Day,Sweatshirt,Black,Large
2435,Liz,Rooksby,lrooksbyd@paypal.com,564 Victoria Circle,Ecuador,2 Day,Hat,White,Large
8380,Venita,Weldon,vweldone@java.com,88637 Farwell Point,China,5 Day,Sweatshirt,White,X Large
2060,Willi,Christauffour,wchristauffourf@comsenz.com,3948 Blackbird Crossing,New Zealand,1 Day,Sweatshirt,Grey,Large
1451,Hyacinthie,Bleier,hbleierg@sohu.com,272 Reindahl Pass,Czech Republic,5 Day,Hat,Red,X Large
2431,Verla,Easbie,veasbieh@pcworld.com,99447 Schlimgen Park,China,5 Day,TShirt,Black,Large
9063,Virge,Cheel,vcheeli@umich.edu,4 Larry Pass,Denmark,5 Day,Sweatshirt,Grey,Large
2131,Merell,Gallanders,mgallandersj@independent.co.uk,624 Sommers Hill,China,1 Day,Hat,Grey,Large
7669,Nessy,Cherrett,ncherrettk@nifty.com,5 Esch Crossing,China,5 Day,TShirt,Black,Small
4927,Faulkner,Wisam,fwisaml@unicef.org,0251 Blaine Point,Mexico,5 Day,Hoody,Red,Small
9763,Dallon,Lowdeane,dlowdeanem@guardian.co.uk,1 Shelley Lane,China,5 Day,Sweatshirt,White,Small
3915,Peggy,Nutkins,pnutkinsn@zdnet.com,506 Northwestern Park,Poland,1 Day,Hoody,Red,Medium
8210,Davie,Crews,dcrewso@e-recht24.de,882 Duke Terrace,China,2 Day,Hat,Black,Medium
2991,Annis,Tunaclift,atunacliftp@dropbox.com,147 Petterle Drive,Ireland,5 Day,Hoody,Yellow,X Large
5577,Thaine,Rydeard,trydeardq@alexa.com,8360 Shelley Parkway,Barbados,1 Day,Hat,Yellow,Small
2955,Carolyne,Harsnep,charsnepr@skype.com,96 1st Alley,Japan,5 Day,Hat,Grey,Large
2816,Floria,Havvock,fhavvocks@gnu.org,46062 Hoepker Plaza,France,5 Day,Hat,Red,Medium
6772,Jorrie,Hebburn,jhebburnt@psu.edu,213 Bellgrove Trail,Indonesia,1 Day,Sweatshirt,Grey,Large
6365,Kylie,McLucky,kmcluckyu@xinhuanet.com,4166 Blackbird Way,Czech Republic,5 Day,Hoody,Grey,Medium
7087,Leone,Frude,lfrudev@dedecms.com,7906 Clemons Avenue,Peru,1 Day,Hoody,Black,X Large
6881,Leroi,Corryer,lcorryerw@auda.org.au,8415 Del Mar Center,China,1 Day,TShirt,Grey,Large
9344,Murry,Emnoney,memnoneyx@youtu.be,257 Saint Paul Junction,Latvia,5 Day,Hoody,Red,Medium
6175,Son,Burbury,sburburyy@weibo.com,030 La Follette Place,Indonesia,1 Day,TShirt,Yellow,Small
4823,Deena,Choppin,dchoppinz@slate.com,4 Dryden Road,Brazil,5 Day,TShirt,White,Medium
6661,Fitz,Campes,fcampes10@people.com.cn,98312 Glendale Way,Bosnia and Herzegovina,1 Day,Sweatshirt,White,Large
6282,Cele,Solloway,csolloway11@livejournal.com,15 Express Trail,Philippines,1 Day,Hat,Red,Small
7101,Janelle,Bishopp,jbishopp12@state.gov,0 Stone Corner Terrace,Indonesia,2 Day,Hoody,Red,Medium
1154,Darn,Polland,dpolland13@vinaora.com,66327 La Follette Lane,Brazil,1 Day,TShirt,White,Small
4681,Elston,Stallan,estallan14@studiopress.com,4376 Mccormick Point,Indonesia,5 Day,Sweatshirt,Red,X Large
1777,Chan,Duchesne,cduchesne15@live.com,071 Pine View Point,Peru,1 Day,TShirt,Black,Medium
3483,Sarge,Flattman,sflattman16@networkadvertising.org,3859 Packers Terrace,Portugal,1 Day,Hoody,White,Large
9420,Analise,Backshell,abackshell17@t.co,5 Forster Hill,Spain,2 Day,TShirt,White,Small
6050,Gretta,MacNucator,gmacnucator18@godaddy.com,58838 Corben Drive,Morocco,5 Day,Hat,Red,Large
4246,Johnny,Sutlieff,jsutlieff19@arstechnica.com,64424 Pepper Wood Pass,Bulgaria,1 Day,TShirt,Red,Medium
4778,Penelope,Evesque,pevesque1a@amazon.co.jp,869 Pierstorff Lane,China,2 Day,TShirt,Black,X Large
5016,Gusella,Milburne,gmilburne1b@answers.com,4288 Riverside Park,Cameroon,1 Day,TShirt,Black,Medium
2129,Laverne,Rogeon,lrogeon1c@boston.com,48 Claremont Trail,Colombia,2 Day,Hoody,Grey,Large
2205,Martita,Rainton,mrainton1d@altervista.org,855 Manufacturers Avenue,Russia,2 Day,Hoody,Yellow,X Large
2014,Cullen,Heale,cheale1e@trellian.com,3418 Carpenter Court,Philippines,1 Day,Hoody,Yellow,Small
9374,Cathe,Tiffney,ctiffney1f@godaddy.com,1 Shopko Center,Indonesia,1 Day,Sweatshirt,Grey,X Large
5946,Osmond,Baudry,obaudry1g@boston.com,63873 Namekagon Point,Japan,2 Day,Hoody,White,Small
8677,Rici,Bedinn,rbedinn1h@about.com,71735 Cascade Place,China,2 Day,Hat,Red,Large
3322,Lorain,Trewinnard,ltrewinnard1i@booking.com,8493 Oak Pass,Czech Republic,1 Day,Hat,Black,Medium
7345,Reba,Gorrie,rgorrie1j@paginegialle.it,80258 Fordem Pass,Taiwan,5 Day,Sweatshirt,Yellow,X Large
9387,Gabie,Longshaw,glongshaw1k@taobao.com,39525 Portage Park,Philippines,1 Day,TShirt,Grey,X Large
